sample_id,fastqlist,cram
10929-BM-lib1,/storage1/fs1/dspencer/Active/spencerlab/dnidhi/pipelines/dragenmultiworkflow/assets/samplesheets/fastq_list.csv,
10940-BM-lib1,/storage1/fs1/dspencer/Active/spencerlab/dnidhi/pipelines/dragenmultiworkflow/assets/samplesheets/fastq_list.csv,
